epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
0,1.3443103720769858,0.51858,1.12113340142407,0.5981,29.935372829437256
1,0.9581562222727119,0.66172,0.9616090112094637,0.6665,26.58691692352295
2,0.7814022497752743,0.72596,0.8272325283364405,0.7122,26.627807140350342
3,0.6507968869050751,0.77264,0.8269036619723598,0.7139,26.821290016174316
4,0.5472686985112212,0.80964,0.8263616305363329,0.7245,26.576943397521973
5,0.45711247443847947,0.83892,0.7594114625001256,0.7527,26.74748730659485
6,0.3746285048668342,0.86954,0.8295018552224848,0.7408,26.86916184425354
7,0.3069720602477603,0.893,0.9034448907345156,0.7359,26.69562554359436
8,0.24108588169602788,0.91502,0.9223783483988122,0.7472,26.558991193771362
9,0.19545360025771133,0.93108,0.9784018397331238,0.7536,26.59290099143982
10,0.16156975737275064,0.94302,1.0171122784856,0.7531,26.784388303756714
11,0.1373272242829623,0.95164,1.063823233676862,0.7422,26.63179636001587
12,0.12281019832757885,0.9563,1.078591063052793,0.7506,26.78339147567749
13,0.10979023150375584,0.96138,1.1886177885381481,0.7492,26.795359134674072
14,0.09224369549585501,0.9678,1.130102508807484,0.7554,26.571957111358643
15,0.08774229134087597,0.96894,1.2427853398685214,0.7459,26.780398845672607
16,0.08418635297757204,0.97128,1.264428644240657,0.753,26.576942920684814
17,0.07196733278825003,0.97516,1.256009492693068,0.7532,26.64376473426819
18,0.07297149982751178,0.97442,1.2336760955520822,0.7539,26.640772581100464
19,0.06945267482243879,0.97548,1.1781634582748897,0.7666,26.602874279022217
20,0.06233267148103937,0.978,1.2901855812797063,0.7557,26.851210355758667
21,0.06492191572051943,0.97728,1.2877273680288581,0.7527,26.520095109939575
22,0.05781454485757729,0.98024,1.3721408942077733,0.7551,26.55799388885498
23,0.05868958590118705,0.9792,1.2977319872831996,0.7533,26.67468237876892
24,0.05389471067284779,0.98172,1.3573574408700195,0.7547,24.69298028945923
25,0.04833847770581732,0.98332,1.3906240297269217,0.7549,24.268116235733032
26,0.04910997030041788,0.9837,1.3574138864686218,0.7559,24.183342933654785
27,0.045948538290875036,0.98428,1.3386856558956677,0.7551,24.220244646072388
28,0.04860386935353298,0.98332,1.3768975704531126,0.7578,24.268115758895874
29,0.04001363963865296,0.98636,1.3798021168648442,0.7569,24.262131690979004
30,0.043311908680950396,0.98498,1.3795108742351774,0.7571,26.429337978363037
31,0.03944999848604393,0.98668,1.3276676558241058,0.7606,26.622820615768433
32,0.04317030522441182,0.98502,1.351620740528348,0.7593,26.744495153427124
33,0.04248287771111521,0.98544,1.4598290629779236,0.7584,26.785385608673096
34,0.03364378847467625,0.9881,1.3941359437907799,0.7572,26.812313556671143
35,0.0375637045121797,0.9872,1.3990136354784422,0.7605,26.60187602043152
36,0.03366477744560927,0.98834,1.4070317624490472,0.7568,26.77042579650879
37,0.03419197115021736,0.98822,1.3638854290865645,0.7686,26.676676988601685
38,0.0315647019538433,0.98894,1.4470038708252242,0.7604,26.73551893234253
39,0.032461981312312246,0.989,1.4090761942199515,0.7622,26.672687292099
40,0.03254836441203476,0.98888,1.4937547686733776,0.755,26.722553968429565
41,0.03513941810736695,0.98816,1.3362139335161523,0.7619,26.676676750183105
42,0.027042037985451958,0.99106,1.5326561399652987,0.7628,26.774414777755737
43,0.03183642131231173,0.98906,1.4541904134086416,0.7598,26.81331157684326
