epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
0,1.7729589262276964,0.38844,1.3948654796503768,0.5017,33.882410526275635
1,1.4494275629063091,0.51838,1.3092597074146513,0.5425,30.04167914390564
2,1.2398509223137975,0.59632,1.2910897052740749,0.5581,29.65670871734619
3,1.025936981143854,0.67524,1.293260469466825,0.5622,31.478837251663208
4,0.783785940131263,0.75546,1.4302983118008963,0.5427,32.68960118293762
5,0.5414345151628069,0.83074,1.6113822082929974,0.5346,31.784021377563477
6,0.34826759986407924,0.89058,1.8185355904736096,0.5241,32.67663502693176
7,0.2281290588095365,0.92918,1.9587943885899797,0.5333,32.694586753845215
8,0.1860168036406912,0.94056,2.057879048057749,0.5222,33.08155274391174
9,0.1582701648478313,0.94712,2.1641229919240446,0.5366,32.620784521102905
10,0.13331238891157654,0.95612,2.29384755937359,0.5253,31.769060850143433
11,0.1394976674081267,0.95316,2.287371007702019,0.529,31.459888458251953
12,0.12116456434816655,0.95944,2.341607759270487,0.5252,33.08155179023743
13,0.11483543043684624,0.96086,2.522242577770088,0.5169,32.466198444366455
14,0.10247637206674232,0.96482,2.4653218094306655,0.5318,33.11346650123596
15,0.0960715913530582,0.96806,2.4391088349909724,0.5363,32.6995735168457
16,0.10246459130778947,0.96502,2.500460484359838,0.5333,32.6058247089386
17,0.1088772628056195,0.96296,2.5170908019512512,0.5391,32.127103328704834
18,0.09379088307452171,0.9678,2.5173038983646827,0.5358,32.411344051361084
19,0.08095253741992708,0.97252,2.598067692563504,0.5328,33.30994200706482
20,0.0750334486841698,0.97502,2.655996149099326,0.5428,32.57044053077698
21,0.08488122562703955,0.97192,2.6462734092639972,0.529,32.683616399765015
22,0.09034435129474344,0.96902,2.6817678605453876,0.5315,32.58986711502075
23,0.09228745523287589,0.9688,2.5904413522044316,0.5352,33.11446452140808
24,0.06817843624250129,0.97642,2.6485701950290537,0.5301,32.36247539520264
25,0.07049302822050384,0.977,2.659374799909471,0.5406,29.157044887542725
26,0.07088596240767395,0.97546,2.6484787977194486,0.5429,29.65072512626648
27,0.06334598902065088,0.97838,2.7265878915786743,0.5386,29.320608377456665
28,0.07475950927152049,0.97458,2.7262826614742037,0.5362,29.3505277633667
29,0.06939112855111966,0.97634,2.7129526002497615,0.539,29.153055429458618
30,0.06711369373923753,0.97746,2.6562124883072284,0.5554,31.6473867893219
31,0.0618308652597277,0.97916,2.710355666619313,0.5467,32.3275682926178
32,0.06675872393667012,0.9769,2.6545578754400907,0.5516,33.20921087265015
33,0.06019350809171377,0.97946,2.707975109921226,0.5472,33.31692337989807
34,0.05338310153530839,0.9822,2.701642090761209,0.5525,32.75542426109314
35,0.05642408815919972,0.98124,2.7366032479684566,0.5462,32.13807463645935
36,0.060331595277942504,0.97998,2.756126248383824,0.5487,32.5828857421875
37,0.05965254693518362,0.97868,2.767814455153067,0.54,31.806960105895996
38,0.06171817451243854,0.97832,2.762076269222211,0.5496,32.90203237533569
39,0.054906545277170433,0.98034,2.7476207289514663,0.5563,32.09818148612976
40,0.046967633073325354,0.98408,2.748255850393561,0.5582,32.55097055435181
41,0.05581673743236629,0.98088,2.738484847394726,0.5492,32.92896008491516
42,0.05838789217902914,0.98062,2.7022457122802734,0.5623,32.26872491836548
43,0.04875278267461587,0.98438,2.8071674742276156,0.5461,32.28169083595276
44,0.05126052201532609,0.98236,2.7949905274789546,0.5528,32.52105140686035
45,0.04725708727292535,0.98392,2.7497003500974633,0.557,32.73348307609558
46,0.05322599078378523,0.98188,2.813849302786815,0.5557,32.919984102249146
47,0.04461626726163365,0.9844,2.7708074141152297,0.5565,33.07456994056702
48,0.04806347673787447,0.98346,2.8279443964173523,0.5618,32.28567981719971
49,0.04180289498385032,0.98618,2.848542527307438,0.5544,32.57889652252197
50,0.043636059128891326,0.98526,2.809892536718634,0.5589,31.667333364486694
51,0.052322420713198765,0.9823,2.774682005749473,0.5573,32.607818365097046
52,0.04535532187637123,0.98432,2.7265283759636216,0.5684,30.05165386199951
53,0.038171752274412746,0.98726,2.8143790326540983,0.5564,30.41168999671936
54,0.050656777530279765,0.98246,2.8365809283679044,0.5498,28.94162082672119
55,0.049291789995582626,0.98266,2.777372921569438,0.5554,29.79633665084839
56,0.04313657909114857,0.98504,2.8147729273083844,0.5618,29.450260639190674
57,0.037874229951425815,0.98762,2.8456261339066904,0.564,32.53202199935913
58,0.04285437819045371,0.98508,2.8609399373018287,0.5632,32.32357835769653
59,0.041759646347011715,0.9861,2.8419478814813157,0.5627,32.7304904460907
60,0.04540634605988308,0.98426,2.8217390836039677,0.5616,32.672646045684814
61,0.03818883693894929,0.98768,2.8018298526353473,0.5745,32.57889652252197
62,0.03475149065944488,0.9884,2.8394162624697143,0.5592,31.838874340057373
63,0.035359002024535555,0.98808,2.843005723591092,0.5629,33.108479738235474
64,0.045613274280734535,0.9848,2.812171598024006,0.5633,33.451563358306885
65,0.048412437460211385,0.98342,2.7827254563947266,0.5688,33.03168559074402
66,0.03909687014758739,0.98664,2.7833381649814073,0.5646,32.2118763923645
67,0.039094725783909566,0.98652,2.7367634426189373,0.5706,32.11513614654541
68,0.029807406917090534,0.98948,2.782131406325328,0.5799,32.87709927558899
69,0.03294024813969088,0.98922,2.829157289070419,0.5704,32.46121096611023
70,0.03687425835303429,0.98754,2.834835950332352,0.5685,32.608816146850586
71,0.04660404728585021,0.98386,2.7949248054359535,0.5723,32.11613392829895
72,0.035202996042209306,0.9882,2.823319075982782,0.5761,32.376437187194824
73,0.026013495601520723,0.99112,2.806030537508711,0.5773,32.92297673225403
74,0.03129675319535024,0.98914,2.8395977367328693,0.5766,32.54099702835083
75,0.0480840161694047,0.98358,2.9334958263590365,0.5594,32.66366910934448
76,0.030882441025177287,0.98934,2.7631996734232844,0.5805,32.25974988937378
77,0.029064246097548634,0.99026,2.821559779251678,0.5705,32.75542426109314
78,0.031563694916351144,0.98892,2.8920797471758686,0.5727,30.533365964889526
79,0.03731862979922015,0.98684,2.771336970450003,0.5654,29.391417741775513
80,0.03845405978593699,0.98668,2.815502921237221,0.5657,29.733503341674805
81,0.028444185580574738,0.99008,2.9077992318551753,0.5595,29.66568422317505
82,0.02697274098119191,0.99058,2.9657715936250324,0.5651,29.53104567527771
83,0.03219111703301701,0.99002,2.850458588781236,0.5715,31.747120141983032
84,0.028484856536554748,0.99056,2.842188566545897,0.5713,32.25376534461975
85,0.03864822613076566,0.98686,2.8857828091971482,0.5685,32.58787250518799
86,0.038737518441937194,0.9867,2.8347602056551584,0.5692,32.32457661628723
87,0.027203157826093362,0.99108,2.827457879163042,0.5736,33.017722368240356
88,0.026333305328224532,0.99054,2.878732551502276,0.5775,32.4771683216095
89,0.029178274026952798,0.98998,2.830144593987284,0.5794,31.904698133468628
90,0.024504251274651827,0.99154,2.796118244340148,0.5889,32.78733944892883
91,0.03031053925808424,0.98944,2.8903136087369314,0.5711,32.28867268562317
92,0.03834388063162984,0.98688,2.879540395133103,0.5772,32.6836154460907
93,0.029811040425668362,0.99006,2.9137110317809674,0.5813,32.52105140686035
94,0.027202993957087626,0.99068,2.925483685505541,0.5709,32.77437376976013
95,0.02674259782365054,0.99128,2.8589049456994746,0.5783,32.958879470825195
96,0.023178483299074976,0.99198,2.9105287624310843,0.5753,33.202229738235474
97,0.032322181475377354,0.98892,2.921956189071076,0.579,32.56892514228821
98,0.03838006383143937,0.98696,2.848328899733628,0.583,32.455225706100464
99,0.020551712741977667,0.99296,2.8900281643565697,0.5822,32.95788359642029
100,0.024536435423261675,0.99118,2.873448358306402,0.5832,31.97650671005249
101,0.016828296109563563,0.9942,2.9136341523520555,0.5745,32.53601026535034
102,0.027485824403855615,0.99038,3.018986572193194,0.5747,31.026047706604004
103,0.04148352641285971,0.98634,2.924859135965758,0.5747,32.45921611785889
104,0.03398128589817687,0.9879,2.9454537358465074,0.5847,32.70555782318115
105,0.021420816457985194,0.99294,2.840299899065042,0.5841,29.024399280548096
106,0.01448469960664892,0.99548,2.886839362639415,0.5827,29.45026183128357
107,0.01842691094222743,0.99376,2.904272453694404,0.5844,29.28669786453247
108,0.033955275407418266,0.989,2.990072742293153,0.5765,28.533711910247803
109,0.03886684236983719,0.98728,2.9238274127622192,0.5755,29.25777554512024
110,0.026169606298982354,0.9909,2.9745998503286626,0.5745,32.64172911643982
111,0.021700341381011127,0.9929,2.8636884644061706,0.5861,33.052629470825195
112,0.017153500749305595,0.99454,2.943256417407265,0.5788,32.98082089424133
113,0.025421923804281474,0.9911,2.9482899708083914,0.5787,31.989472150802612
114,0.033378175343089095,0.9889,2.9624739266649076,0.5728,32.410346031188965
115,0.021271735737326523,0.99242,2.8454150942307486,0.5929,32.67164754867554
116,0.013095778718148893,0.99602,2.947962686985354,0.5808,32.82124853134155
117,0.02143562514127394,0.99262,3.020994154712822,0.5744,32.431291341781616
118,0.03231888612115379,0.98916,3.0501079317889634,0.5705,32.85715174674988
119,0.033875629235573516,0.98836,2.9971154400064974,0.5786,29.84571886062622
120,0.025258900890814003,0.99158,2.9412677046618882,0.5774,32.64170026779175
121,0.015752978830882933,0.99434,2.8973646752441984,0.5895,32.49113059043884
122,0.010729495652259358,0.99688,2.917917948734911,0.5887,32.63773822784424
123,0.022654980822267426,0.99216,3.049720884878424,0.5789,32.447248220443726
124,0.04225472621071864,0.98534,3.0364025182361845,0.5809,32.11314105987549
125,0.02615509269794192,0.99144,3.066512246675129,0.5724,32.84518480300903
126,0.016280313958223346,0.99446,2.956552236895018,0.5809,32.325573205947876
127,0.01281740130645835,0.99604,2.9181386564351337,0.589,31.529701948165894
128,0.017699423506456997,0.99398,3.1040611780142484,0.5799,32.581883907318115
129,0.032198823179336276,0.98958,2.9828864290744446,0.5791,33.2281608581543
130,0.032285282960283046,0.98914,2.9731668520577346,0.581,32.78335618972778
131,0.02127225065867052,0.99318,2.945890990993645,0.5891,32.08221769332886
132,0.012342787089000178,0.99604,2.952947661846499,0.5912,29.613824129104614
133,0.02020638664130984,0.99308,3.001556037347528,0.5814,28.29435110092163
134,0.027432444737628674,0.99058,3.034231676331049,0.5817,27.723876237869263
135,0.02969555561835675,0.99,2.982711392112925,0.5774,29.492148637771606
136,0.02310627406222455,0.9921,2.911393814449069,0.5926,30.063621282577515
137,0.012456905200381946,0.9959,2.8536066918433467,0.5924,32.45422983169556
138,0.017214818974323285,0.99436,2.9502216124836402,0.5904,32.579894065856934
139,0.02313601699493387,0.99212,3.056155055384093,0.5789,32.94292235374451
140,0.021563750790932888,0.99262,2.9923500335669218,0.5868,32.31659746170044
141,0.023043076913712112,0.99208,3.039041485967515,0.5777,32.19292879104614
142,0.021063764976850256,0.99256,3.0017452903940707,0.5878,32.219855546951294
143,0.010965652736675,0.99634,3.0331608615344083,0.5869,32.52504110336304
144,0.022326899943706555,0.99252,3.0277061854736713,0.5825,32.41034698486328
145,0.029677346629528877,0.98992,3.0358614800851558,0.5832,32.63574433326721
146,0.021294825374359585,0.99296,2.9546130322202853,0.5966,32.46021318435669
147,0.015599491700078683,0.99486,3.047645861589456,0.5873,32.094192028045654
148,0.017815978559718976,0.99438,2.9779129873348187,0.5848,31.509754419326782
149,0.018303605806305193,0.99378,3.0636188561403297,0.5916,32.98880052566528
150,0.02498704856342,0.9916,2.984913460816009,0.5885,32.462207078933716
151,0.02587149285159343,0.9913,2.9727623341958735,0.591,33.053627490997314
152,0.01637996107526987,0.99468,2.986060815521433,0.585,32.1071572303772
153,0.010369406636793027,0.99668,2.939309830907025,0.5916,32.83022451400757
154,0.01418397728892048,0.99508,3.1061572817307486,0.5802,32.55097055435181
155,0.030594672126572846,0.9902,2.9884328329110446,0.5897,33.06260299682617
156,0.01887991366630463,0.9933,3.047536367102514,0.5896,32.52405619621277
157,0.015466308093938234,0.99504,3.0629057854036743,0.5876,32.52957105636597
158,0.01841177999646679,0.99366,3.112847735610189,0.5902,30.63708782196045
159,0.019281853131814134,0.99386,3.012732442421249,0.592,29.90903377532959
160,0.01754589569467582,0.99426,3.0140921043444284,0.5932,29.50112533569336
161,0.022388399519492834,0.9921,3.0236049181298363,0.5937,28.521743297576904
162,0.016200447152919538,0.99462,3.050010068507134,0.5932,30.046667098999023
163,0.016444832136992382,0.99454,3.070185145245323,0.5852,30.011762380599976
164,0.01830551218967337,0.99384,3.0054451076290274,0.5973,32.890063524246216
165,0.02086294908128629,0.99328,3.0589928264859356,0.5871,33.07656526565552
166,0.02247174160318006,0.99264,3.0486563700663893,0.5893,31.703237533569336
167,0.014806949813990757,0.9953,2.9938124697419664,0.5887,32.48115801811218
168,0.016805882432141945,0.99452,2.994064874286893,0.5961,32.78833627700806
169,0.012495547210139072,0.99606,3.0301576958426946,0.5991,32.85216546058655
170,0.014365195137117525,0.99522,3.1158357602131517,0.5906,32.69059729576111
171,0.024049239569505,0.99188,3.064606781247296,0.5922,32.61180853843689
172,0.02085343172693032,0.99336,2.990405542941033,0.595,32.834213972091675
173,0.017133751161345294,0.99408,3.068828830236121,0.5934,32.343525409698486
174,0.017397289374120332,0.9945,3.067610149142108,0.5938,32.13109278678894
175,0.015002288212425068,0.99474,3.0186849153494535,0.6023,32.384416818618774
176,0.011038271234715548,0.99632,3.068008714084384,0.5937,33.04066181182861
177,0.014754699306045076,0.9952,3.1708462147773067,0.578,32.95688605308533
178,0.027545150171112642,0.99118,3.030951198143295,0.5951,32.66765832901001
179,0.021322572293430517,0.99272,3.0249164889130413,0.5979,33.36679029464722
180,0.013633488804501508,0.99538,3.029177548010138,0.5899,32.92896008491516
181,0.015355502220351234,0.99478,3.0293826543832125,0.5921,33.08753681182861
182,0.015049541434136164,0.99538,3.0799388447894325,0.5857,32.38740825653076
183,0.013079255895764755,0.9958,3.1533066456830956,0.5916,32.54598355293274
