epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
0,1.9432655072882963,0.3333,1.493841904628126,0.4815,30.936288118362427
1,1.6748824354327854,0.4503,1.4404845041564749,0.5191,26.924015045166016
2,1.4876816214807809,0.5232,1.3683693748486192,0.5408,26.704992055892944
3,1.2873922147409385,0.59386,1.3968723257885705,0.5269,26.673683643341064
4,1.033872880899083,0.6719,1.5270377820051169,0.5048,27.1583890914917
5,0.7668709376126605,0.7571,1.7035373977467985,0.4863,26.856197357177734
6,0.5041571684810512,0.84198,1.9537939391558683,0.4674,26.790440797805786
7,0.3278239277927467,0.89598,2.145505921750129,0.4631,27.124479055404663
8,0.23534286266092755,0.92598,2.2308034157451195,0.4766,28.240496158599854
9,0.19163160623453768,0.93812,2.4001950085917607,0.4719,26.32561469078064
10,0.18315611911170623,0.94072,2.473573735997647,0.4753,26.019433975219727
11,0.15864060348485742,0.94772,2.6137287043317965,0.4753,24.51844620704651
12,0.1400810236782979,0.952,2.6034159147286715,0.4713,26.816304206848145
13,0.14463863699980403,0.95112,2.596495157555689,0.4789,29.75544500350952
14,0.13629850144962521,0.9542,2.700405452824846,0.4796,30.385760068893433
15,0.13709674433559713,0.95388,2.739571818822547,0.4745,29.677652597427368
16,0.10907528008265263,0.96318,2.7085257602643362,0.4831,32.50110363960266
17,0.09186458354220366,0.9694,2.7430772721012935,0.4976,31.85981822013855
18,0.11501970534663067,0.96086,2.826365326024309,0.475,32.377434492111206
19,0.11695823266797359,0.96038,2.822300093083442,0.4919,32.23182487487793
20,0.11184704738676243,0.96262,2.8934033520614046,0.4825,33.43061828613281
21,0.09505175398495953,0.96848,2.9439953701405583,0.4808,32.68760633468628
22,0.10523978182498146,0.96396,2.8045391251769245,0.4998,32.6886031627655
23,0.08223447133131954,0.97158,2.8708020946647546,0.495,31.75210666656494
24,0.07645368014397981,0.97376,2.960242730152758,0.4803,32.42829871177673
25,0.09660237617171405,0.96658,2.976139316075965,0.4879,32.35748887062073
26,0.09621705293483898,0.967,2.9155729420577425,0.4876,33.145381450653076
27,0.08540697243359997,0.97128,2.956570854669885,0.4901,32.9399311542511
28,0.08212183820336219,0.97278,2.974131089222582,0.4839,32.94292235374451
29,0.07686039962855827,0.97364,2.9415655045569697,0.4976,31.85383415222168
30,0.09037286926137136,0.96916,3.012228522119643,0.4863,32.48016047477722
31,0.07520073478388817,0.9739,2.9849189716049387,0.4967,32.74445366859436
32,0.07386612466029117,0.97502,2.967307570614392,0.5084,32.762404918670654
33,0.07327352355584464,0.97476,3.014093426209462,0.5032,33.09304451942444
34,0.08396837057407631,0.97142,2.9107584636422654,0.5053,32.30363130569458
35,0.06317649188134676,0.97844,3.0287580067598365,0.4989,33.19425082206726
36,0.06604715182786555,0.97796,3.026576902292952,0.4998,32.838202714920044
37,0.07624609725992851,0.97436,3.054748586461514,0.4913,30.921327352523804
